fixture_check_key,execution_order,helper_surface,check_name,check_status,expected_behavior,observed_behavior,mutation_allowed,person_ingestion_allowed,denominator_closure_allowed,apply_executed,accepted_person_rows,synthetic_fixture_only,real_vanderbilt_rows_used,evidence_json,mutation_policy,generated_at
vanderbilt_patch_helper_fixture_check_ef51844c06dd6a6b5cf2,1,patch_header,valid header accepted,pass,valid header accepted,success,false,false,false,false,0,true,0,null,"Synthetic-only Vanderbilt patch-helper fixture verification. It imports helper functions and exercises fabricated keys, fingerprints, workbook rows, patch rows, and confirmation fields in memory. It writes only verification artifacts and does not read or write real reviewer decisions, extract real filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:21:21.211100+00:00
vanderbilt_patch_helper_fixture_check_0b6683ba4934e1214410,2,patch_header,missing patch column rejected,pass,missing patch column rejected,Patch is missing required columns: confirm_recourse_only,false,false,false,false,0,true,0,"{""expected_fragment"":""Patch is missing required columns""}","Synthetic-only Vanderbilt patch-helper fixture verification. It imports helper functions and exercises fabricated keys, fingerprints, workbook rows, patch rows, and confirmation fields in memory. It writes only verification artifacts and does not read or write real reviewer decisions, extract real filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:21:21.211100+00:00
vanderbilt_patch_helper_fixture_check_e5db1cbae72468480e1f,3,patch_header,extra patch column rejected,pass,extra patch column rejected,Patch contains unsupported columns: unsupported_fixture_column,false,false,false,false,0,true,0,"{""expected_fragment"":""Patch contains unsupported columns""}","Synthetic-only Vanderbilt patch-helper fixture verification. It imports helper functions and exercises fabricated keys, fingerprints, workbook rows, patch rows, and confirmation fields in memory. It writes only verification artifacts and does not read or write real reviewer decisions, extract real filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:21:21.211100+00:00
vanderbilt_patch_helper_fixture_check_45940d0bb05332770d18,4,patch_rows,valid non-mutating synthetic patch accepted,pass,valid non-mutating synthetic patch accepted,success,false,false,false,false,0,true,0,"{""audit_rows"":1,""validated_rows"":1}","Synthetic-only Vanderbilt patch-helper fixture verification. It imports helper functions and exercises fabricated keys, fingerprints, workbook rows, patch rows, and confirmation fields in memory. It writes only verification artifacts and does not read or write real reviewer decisions, extract real filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:21:21.211100+00:00
vanderbilt_patch_helper_fixture_check_47319e6fd99189adf0e1,5,patch_rows,unsupported action rejected,pass,unsupported action rejected,Patch row is not a valid non-mutating decision for fixture_manual_decision_row_alpha: reviewer_action_not_allowed,false,false,false,false,0,true,0,"{""expected_fragment"":""reviewer_action_not_allowed""}","Synthetic-only Vanderbilt patch-helper fixture verification. It imports helper functions and exercises fabricated keys, fingerprints, workbook rows, patch rows, and confirmation fields in memory. It writes only verification artifacts and does not read or write real reviewer decisions, extract real filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:21:21.211100+00:00
vanderbilt_patch_helper_fixture_check_a4ea2e7050645edb1bb7,6,patch_rows,stale fingerprint rejected,pass,stale fingerprint rejected,Patch row is not a valid non-mutating decision for fixture_manual_decision_row_alpha: decision_fingerprint_confirmation_missing_or_mismatched,false,false,false,false,0,true,0,"{""expected_fragment"":""decision_fingerprint_confirmation_missing_or_mismatched""}","Synthetic-only Vanderbilt patch-helper fixture verification. It imports helper functions and exercises fabricated keys, fingerprints, workbook rows, patch rows, and confirmation fields in memory. It writes only verification artifacts and does not read or write real reviewer decisions, extract real filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:21:21.211100+00:00
vanderbilt_patch_helper_fixture_check_bf5004de5ec46a4b706f,7,patch_rows,irrelevant lane confirmation rejected,pass,irrelevant lane confirmation rejected,Patch sets confirmation fields outside this row's lane for fixture_manual_decision_row_alpha: confirm_scope_metadata_only,false,false,false,false,0,true,0,"{""expected_fragment"":""Patch sets confirmation fields outside this row's lane""}","Synthetic-only Vanderbilt patch-helper fixture verification. It imports helper functions and exercises fabricated keys, fingerprints, workbook rows, patch rows, and confirmation fields in memory. It writes only verification artifacts and does not read or write real reviewer decisions, extract real filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:21:21.211100+00:00
vanderbilt_patch_helper_fixture_check_780c87b310a8c4ae738b,8,patch_rows,duplicate patch key rejected,pass,duplicate patch key rejected,Patch contains duplicate manual_decision_row_key: fixture_manual_decision_row_alpha,false,false,false,false,0,true,0,"{""expected_fragment"":""Patch contains duplicate manual_decision_row_key""}","Synthetic-only Vanderbilt patch-helper fixture verification. It imports helper functions and exercises fabricated keys, fingerprints, workbook rows, patch rows, and confirmation fields in memory. It writes only verification artifacts and does not read or write real reviewer decisions, extract real filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:21:21.211100+00:00
vanderbilt_patch_helper_fixture_check_0d043215b04ea42725e9,9,workbook_header,valid workbook header accepted,pass,valid workbook header accepted,success,false,false,false,false,0,true,0,null,"Synthetic-only Vanderbilt patch-helper fixture verification. It imports helper functions and exercises fabricated keys, fingerprints, workbook rows, patch rows, and confirmation fields in memory. It writes only verification artifacts and does not read or write real reviewer decisions, extract real filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:21:21.211100+00:00
vanderbilt_patch_helper_fixture_check_ee0ffb22b4036d2fa38b,10,workbook_header,extra workbook column rejected,pass,extra workbook column rejected,Workbook contains unsupported columns: unsupported_fixture_column,false,false,false,false,0,true,0,"{""expected_fragment"":""Workbook contains unsupported columns""}","Synthetic-only Vanderbilt patch-helper fixture verification. It imports helper functions and exercises fabricated keys, fingerprints, workbook rows, patch rows, and confirmation fields in memory. It writes only verification artifacts and does not read or write real reviewer decisions, extract real filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:21:21.211100+00:00
